periodyear,edr,key,value,quarter,year.quarter,planning.region
2021,EDR 1 - Northwest,avgemp,34338,1,2021.1,Northwest
2020,EDR 1 - Northwest,avgemp,35428,1,2020.1,Northwest
2019,EDR 1 - Northwest,avgemp,35777,1,2019.1,Northwest
2018,EDR 1 - Northwest,avgemp,35980,1,2018.1,Northwest
2017,EDR 1 - Northwest,avgemp,36166,1,2017.1,Northwest
2016,EDR 1 - Northwest,avgemp,36456,1,2016.1,Northwest
2015,EDR 1 - Northwest,avgemp,36804,1,2015.1,Northwest
2014,EDR 1 - Northwest,avgemp,36485,1,2014.1,Northwest
2013,EDR 1 - Northwest,avgemp,36043,1,2013.1,Northwest
2012,EDR 1 - Northwest,avgemp,35603,1,2012.1,Northwest
2021,EDR 2 - Headwaters,avgemp,30011,1,2021.1,Northwest
2020,EDR 2 - Headwaters,avgemp,31616,1,2020.1,Northwest
2019,EDR 2 - Headwaters,avgemp,31556,1,2019.1,Northwest
2018,EDR 2 - Headwaters,avgemp,31275,1,2018.1,Northwest
2017,EDR 2 - Headwaters,avgemp,30728,1,2017.1,Northwest
2016,EDR 2 - Headwaters,avgemp,30480,1,2016.1,Northwest
2015,EDR 2 - Headwaters,avgemp,29863,1,2015.1,Northwest
2014,EDR 2 - Headwaters,avgemp,29488,1,2014.1,Northwest
2013,EDR 2 - Headwaters,avgemp,29044,1,2013.1,Northwest
2012,EDR 2 - Headwaters,avgemp,28228,1,2012.1,Northwest
2021,EDR 3 - Arrowhead,avgemp,129155,1,2021.1,Northeast
2020,EDR 3 - Arrowhead,avgemp,139919,1,2020.1,Northeast
2019,EDR 3 - Arrowhead,avgemp,140549,1,2019.1,Northeast
2018,EDR 3 - Arrowhead,avgemp,140336,1,2018.1,Northeast
2017,EDR 3 - Arrowhead,avgemp,139893,1,2017.1,Northeast
2016,EDR 3 - Arrowhead,avgemp,137849,1,2016.1,Northeast
2015,EDR 3 - Arrowhead,avgemp,138980,1,2015.1,Northeast
2014,EDR 3 - Arrowhead,avgemp,137082,1,2014.1,Northeast
2013,EDR 3 - Arrowhead,avgemp,136475,1,2013.1,Northeast
2012,EDR 3 - Arrowhead,avgemp,133932,1,2012.1,Northeast
2021,EDR 4 - West Central,avgemp,84170,1,2021.1,Northwest
2020,EDR 4 - West Central,avgemp,87991,1,2020.1,Northwest
2019,EDR 4 - West Central,avgemp,87315,1,2019.1,Northwest
2018,EDR 4 - West Central,avgemp,86584,1,2018.1,Northwest
2017,EDR 4 - West Central,avgemp,86353,1,2017.1,Northwest
2016,EDR 4 - West Central,avgemp,84951,1,2016.1,Northwest
2015,EDR 4 - West Central,avgemp,83891,1,2015.1,Northwest
2014,EDR 4 - West Central,avgemp,83271,1,2014.1,Northwest
2013,EDR 4 - West Central,avgemp,82087,1,2013.1,Northwest
2012,EDR 4 - West Central,avgemp,80881,1,2012.1,Northwest
2021,EDR 5 - North Central,avgemp,59992,1,2021.1,Northwest
2020,EDR 5 - North Central,avgemp,60354,1,2020.1,Northwest
2019,EDR 5 - North Central,avgemp,59873,1,2019.1,Northwest
2018,EDR 5 - North Central,avgemp,59924,1,2018.1,Northwest
2017,EDR 5 - North Central,avgemp,59440,1,2017.1,Northwest
2016,EDR 5 - North Central,avgemp,58275,1,2016.1,Northwest
2015,EDR 5 - North Central,avgemp,57671,1,2015.1,Northwest
2014,EDR 5 - North Central,avgemp,57281,1,2014.1,Northwest
2013,EDR 5 - North Central,avgemp,56968,1,2013.1,Northwest
2012,EDR 5 - North Central,avgemp,55359,1,2012.1,Northwest
2021,EDR 6E- Southwest Central,avgemp,49094,1,2021.1,Central
2020,EDR 6E- Southwest Central,avgemp,51634,1,2020.1,Central
2019,EDR 6E- Southwest Central,avgemp,52161,1,2019.1,Central
2018,EDR 6E- Southwest Central,avgemp,52666,1,2018.1,Central
2017,EDR 6E- Southwest Central,avgemp,52433,1,2017.1,Central
2016,EDR 6E- Southwest Central,avgemp,51206,1,2016.1,Central
2015,EDR 6E- Southwest Central,avgemp,51569,1,2015.1,Central
2014,EDR 6E- Southwest Central,avgemp,50105,1,2014.1,Central
2013,EDR 6E- Southwest Central,avgemp,49743,1,2013.1,Central
2012,EDR 6E- Southwest Central,avgemp,49239,1,2012.1,Central
2021,EDR 6W- Upper Minnesota Valley,avgemp,15738,1,2021.1,Southwest
2020,EDR 6W- Upper Minnesota Valley,avgemp,16616,1,2020.1,Southwest
2019,EDR 6W- Upper Minnesota Valley,avgemp,16898,1,2019.1,Southwest
2018,EDR 6W- Upper Minnesota Valley,avgemp,16910,1,2018.1,Southwest
2017,EDR 6W- Upper Minnesota Valley,avgemp,17001,1,2017.1,Southwest
2016,EDR 6W- Upper Minnesota Valley,avgemp,16839,1,2016.1,Southwest
2015,EDR 6W- Upper Minnesota Valley,avgemp,16837,1,2015.1,Southwest
2014,EDR 6W- Upper Minnesota Valley,avgemp,16906,1,2014.1,Southwest
2013,EDR 6W- Upper Minnesota Valley,avgemp,17016,1,2013.1,Southwest
2012,EDR 6W- Upper Minnesota Valley,avgemp,17576,1,2012.1,Southwest
2021,EDR 7E- East Central,avgemp,45506,1,2021.1,Central
2020,EDR 7E- East Central,avgemp,47846,1,2020.1,Central
2019,EDR 7E- East Central,avgemp,47297,1,2019.1,Central
2018,EDR 7E- East Central,avgemp,46948,1,2018.1,Central
2017,EDR 7E- East Central,avgemp,46970,1,2017.1,Central
2016,EDR 7E- East Central,avgemp,46402,1,2016.1,Central
2015,EDR 7E- East Central,avgemp,45515,1,2015.1,Central
2014,EDR 7E- East Central,avgemp,45392,1,2014.1,Central
2013,EDR 7E- East Central,avgemp,44803,1,2013.1,Central
2012,EDR 7E- East Central,avgemp,43965,1,2012.1,Central
2021,EDR 7W- Central,avgemp,164789,1,2021.1,Central
2020,EDR 7W- Central,avgemp,172865,1,2020.1,Central
2019,EDR 7W- Central,avgemp,171650,1,2019.1,Central
2018,EDR 7W- Central,avgemp,169134,1,2018.1,Central
2017,EDR 7W- Central,avgemp,168327,1,2017.1,Central
2016,EDR 7W- Central,avgemp,164935,1,2016.1,Central
2015,EDR 7W- Central,avgemp,162464,1,2015.1,Central
2014,EDR 7W- Central,avgemp,159098,1,2014.1,Central
2013,EDR 7W- Central,avgemp,154982,1,2013.1,Central
2012,EDR 7W- Central,avgemp,151975,1,2012.1,Central
2021,EDR 8 - Southwest,avgemp,50806,1,2021.1,Southwest
2020,EDR 8 - Southwest,avgemp,52050,1,2020.1,Southwest
2019,EDR 8 - Southwest,avgemp,52284,1,2019.1,Southwest
2018,EDR 8 - Southwest,avgemp,52444,1,2018.1,Southwest
2017,EDR 8 - Southwest,avgemp,52716,1,2017.1,Southwest
2016,EDR 8 - Southwest,avgemp,52907,1,2016.1,Southwest
2015,EDR 8 - Southwest,avgemp,53428,1,2015.1,Southwest
2014,EDR 8 - Southwest,avgemp,53370,1,2014.1,Southwest
2013,EDR 8 - Southwest,avgemp,52893,1,2013.1,Southwest
2012,EDR 8 - Southwest,avgemp,52424,1,2012.1,Southwest
2021,EDR 9 - South Central,avgemp,97151,1,2021.1,Southwest
2020,EDR 9 - South Central,avgemp,103675,1,2020.1,Southwest
2019,EDR 9 - South Central,avgemp,103120,1,2019.1,Southwest
2018,EDR 9 - South Central,avgemp,103537,1,2018.1,Southwest
2017,EDR 9 - South Central,avgemp,103836,1,2017.1,Southwest
2016,EDR 9 - South Central,avgemp,103060,1,2016.1,Southwest
2015,EDR 9 - South Central,avgemp,100972,1,2015.1,Southwest
2014,EDR 9 - South Central,avgemp,100217,1,2014.1,Southwest
2013,EDR 9 - South Central,avgemp,100056,1,2013.1,Southwest
2012,EDR 9 - South Central,avgemp,99433,1,2012.1,Southwest
2021,EDR 10 - Southeast,avgemp,231451,1,2021.1,Southeast
2020,EDR 10 - Southeast,avgemp,243320,1,2020.1,Southeast
2019,EDR 10 - Southeast,avgemp,241908,1,2019.1,Southeast
2018,EDR 10 - Southeast,avgemp,239991,1,2018.1,Southeast
2017,EDR 10 - Southeast,avgemp,237724,1,2017.1,Southeast
2016,EDR 10 - Southeast,avgemp,235833,1,2016.1,Southeast
2015,EDR 10 - Southeast,avgemp,231217,1,2015.1,Southeast
2014,EDR 10 - Southeast,avgemp,229874,1,2014.1,Southeast
2013,EDR 10 - Southeast,avgemp,230054,1,2013.1,Southeast
2012,EDR 10 - Southeast,avgemp,226730,1,2012.1,Southeast
2021,EDR 11 - 7 County Twin Cities,avgemp,1631459,1,2021.1,Seven County Mpls-St Paul
2020,EDR 11 - 7 County Twin Cities,avgemp,1757368,1,2020.1,Seven County Mpls-St Paul
2019,EDR 11 - 7 County Twin Cities,avgemp,1747831,1,2019.1,Seven County Mpls-St Paul
2018,EDR 11 - 7 County Twin Cities,avgemp,1735840,1,2018.1,Seven County Mpls-St Paul
2017,EDR 11 - 7 County Twin Cities,avgemp,1709766,1,2017.1,Seven County Mpls-St Paul
2016,EDR 11 - 7 County Twin Cities,avgemp,1667780,1,2016.1,Seven County Mpls-St Paul
2015,EDR 11 - 7 County Twin Cities,avgemp,1638051,1,2015.1,Seven County Mpls-St Paul
2014,EDR 11 - 7 County Twin Cities,avgemp,1607516,1,2014.1,Seven County Mpls-St Paul
2013,EDR 11 - 7 County Twin Cities,avgemp,1586784,1,2013.1,Seven County Mpls-St Paul
2012,EDR 11 - 7 County Twin Cities,avgemp,1555131,1,2012.1,Seven County Mpls-St Paul
2021,EDR 1 - Northwest,avgemp,35469,2,2021.2,Northwest
2020,EDR 1 - Northwest,avgemp,33404,2,2020.2,Northwest
2019,EDR 1 - Northwest,avgemp,36825,2,2019.2,Northwest
2018,EDR 1 - Northwest,avgemp,37246,2,2018.2,Northwest
2017,EDR 1 - Northwest,avgemp,37224,2,2017.2,Northwest
2016,EDR 1 - Northwest,avgemp,37722,2,2016.2,Northwest
2015,EDR 1 - Northwest,avgemp,38109,2,2015.2,Northwest
2014,EDR 1 - Northwest,avgemp,38374,2,2014.2,Northwest
2013,EDR 1 - Northwest,avgemp,37635,2,2013.2,Northwest
2012,EDR 1 - Northwest,avgemp,37170,2,2012.2,Northwest
2021,EDR 2 - Headwaters,avgemp,31700,2,2021.2,Northwest
2020,EDR 2 - Headwaters,avgemp,28934,2,2020.2,Northwest
2019,EDR 2 - Headwaters,avgemp,32803,2,2019.2,Northwest
2018,EDR 2 - Headwaters,avgemp,32506,2,2018.2,Northwest
2017,EDR 2 - Headwaters,avgemp,32106,2,2017.2,Northwest
2016,EDR 2 - Headwaters,avgemp,31917,2,2016.2,Northwest
2015,EDR 2 - Headwaters,avgemp,31382,2,2015.2,Northwest
2014,EDR 2 - Headwaters,avgemp,30965,2,2014.2,Northwest
2013,EDR 2 - Headwaters,avgemp,30367,2,2013.2,Northwest
2012,EDR 2 - Headwaters,avgemp,29977,2,2012.2,Northwest
2021,EDR 3 - Arrowhead,avgemp,135365,2,2021.2,Northeast
2020,EDR 3 - Arrowhead,avgemp,123519,2,2020.2,Northeast
2019,EDR 3 - Arrowhead,avgemp,145575,2,2019.2,Northeast
2018,EDR 3 - Arrowhead,avgemp,144968,2,2018.2,Northeast
2017,EDR 3 - Arrowhead,avgemp,144412,2,2017.2,Northeast
2016,EDR 3 - Arrowhead,avgemp,142976,2,2016.2,Northeast
2015,EDR 3 - Arrowhead,avgemp,144466,2,2015.2,Northeast
2014,EDR 3 - Arrowhead,avgemp,142556,2,2014.2,Northeast
2013,EDR 3 - Arrowhead,avgemp,141373,2,2013.2,Northeast
2012,EDR 3 - Arrowhead,avgemp,139413,2,2012.2,Northeast
2021,EDR 4 - West Central,avgemp,89642,2,2021.2,Northwest
2020,EDR 4 - West Central,avgemp,83066,2,2020.2,Northwest
2019,EDR 4 - West Central,avgemp,92820,2,2019.2,Northwest
2018,EDR 4 - West Central,avgemp,91834,2,2018.2,Northwest
2017,EDR 4 - West Central,avgemp,91281,2,2017.2,Northwest
2016,EDR 4 - West Central,avgemp,89714,2,2016.2,Northwest
2015,EDR 4 - West Central,avgemp,89367,2,2015.2,Northwest
2014,EDR 4 - West Central,avgemp,88768,2,2014.2,Northwest
2013,EDR 4 - West Central,avgemp,87427,2,2013.2,Northwest
2012,EDR 4 - West Central,avgemp,86298,2,2012.2,Northwest
2021,EDR 5 - North Central,avgemp,63714,2,2021.2,Northwest
2020,EDR 5 - North Central,avgemp,56138,2,2020.2,Northwest
2019,EDR 5 - North Central,avgemp,64324,2,2019.2,Northwest
2018,EDR 5 - North Central,avgemp,64176,2,2018.2,Northwest
2017,EDR 5 - North Central,avgemp,64049,2,2017.2,Northwest
2016,EDR 5 - North Central,avgemp,63211,2,2016.2,Northwest
2015,EDR 5 - North Central,avgemp,62656,2,2015.2,Northwest
2014,EDR 5 - North Central,avgemp,61854,2,2014.2,Northwest
2013,EDR 5 - North Central,avgemp,61220,2,2013.2,Northwest
2012,EDR 5 - North Central,avgemp,60583,2,2012.2,Northwest
2021,EDR 6E- Southwest Central,avgemp,51014,2,2021.2,Central
2020,EDR 6E- Southwest Central,avgemp,48838,2,2020.2,Central
2019,EDR 6E- Southwest Central,avgemp,53639,2,2019.2,Central
2018,EDR 6E- Southwest Central,avgemp,54334,2,2018.2,Central
2017,EDR 6E- Southwest Central,avgemp,54377,2,2017.2,Central
2016,EDR 6E- Southwest Central,avgemp,52956,2,2016.2,Central
2015,EDR 6E- Southwest Central,avgemp,53924,2,2015.2,Central
2014,EDR 6E- Southwest Central,avgemp,52552,2,2014.2,Central
2013,EDR 6E- Southwest Central,avgemp,51971,2,2013.2,Central
2012,EDR 6E- Southwest Central,avgemp,51620,2,2012.2,Central
2021,EDR 6W- Upper Minnesota Valley,avgemp,16390,2,2021.2,Southwest
2020,EDR 6W- Upper Minnesota Valley,avgemp,15746,2,2020.2,Southwest
2019,EDR 6W- Upper Minnesota Valley,avgemp,17460,2,2019.2,Southwest
2018,EDR 6W- Upper Minnesota Valley,avgemp,17657,2,2018.2,Southwest
2017,EDR 6W- Upper Minnesota Valley,avgemp,17597,2,2017.2,Southwest
2016,EDR 6W- Upper Minnesota Valley,avgemp,17612,2,2016.2,Southwest
2015,EDR 6W- Upper Minnesota Valley,avgemp,17646,2,2015.2,Southwest
2014,EDR 6W- Upper Minnesota Valley,avgemp,17597,2,2014.2,Southwest
2013,EDR 6W- Upper Minnesota Valley,avgemp,17825,2,2013.2,Southwest
2012,EDR 6W- Upper Minnesota Valley,avgemp,18332,2,2012.2,Southwest
2021,EDR 7E- East Central,avgemp,47782,2,2021.2,Central
2020,EDR 7E- East Central,avgemp,42712,2,2020.2,Central
2019,EDR 7E- East Central,avgemp,49208,2,2019.2,Central
2018,EDR 7E- East Central,avgemp,48970,2,2018.2,Central
2017,EDR 7E- East Central,avgemp,48851,2,2017.2,Central
2016,EDR 7E- East Central,avgemp,48342,2,2016.2,Central
2015,EDR 7E- East Central,avgemp,47948,2,2015.2,Central
2014,EDR 7E- East Central,avgemp,47132,2,2014.2,Central
2013,EDR 7E- East Central,avgemp,46778,2,2013.2,Central
2012,EDR 7E- East Central,avgemp,46165,2,2012.2,Central
2021,EDR 7W- Central,avgemp,172562,2,2021.2,Central
2020,EDR 7W- Central,avgemp,159617,2,2020.2,Central
2019,EDR 7W- Central,avgemp,178373,2,2019.2,Central
2018,EDR 7W- Central,avgemp,175892,2,2018.2,Central
2017,EDR 7W- Central,avgemp,174977,2,2017.2,Central
2016,EDR 7W- Central,avgemp,171679,2,2016.2,Central
2015,EDR 7W- Central,avgemp,169524,2,2015.2,Central
2014,EDR 7W- Central,avgemp,166360,2,2014.2,Central
2013,EDR 7W- Central,avgemp,161670,2,2013.2,Central
2012,EDR 7W- Central,avgemp,159019,2,2012.2,Central
2021,EDR 8 - Southwest,avgemp,52811,2,2021.2,Southwest
2020,EDR 8 - Southwest,avgemp,50359,2,2020.2,Southwest
2019,EDR 8 - Southwest,avgemp,54034,2,2019.2,Southwest
2018,EDR 8 - Southwest,avgemp,54324,2,2018.2,Southwest
2017,EDR 8 - Southwest,avgemp,54467,2,2017.2,Southwest
2016,EDR 8 - Southwest,avgemp,55101,2,2016.2,Southwest
2015,EDR 8 - Southwest,avgemp,55499,2,2015.2,Southwest
2014,EDR 8 - Southwest,avgemp,55386,2,2014.2,Southwest
2013,EDR 8 - Southwest,avgemp,55088,2,2013.2,Southwest
2012,EDR 8 - Southwest,avgemp,54217,2,2012.2,Southwest
2021,EDR 9 - South Central,avgemp,100628,2,2021.2,Southwest
2020,EDR 9 - South Central,avgemp,94662,2,2020.2,Southwest
2019,EDR 9 - South Central,avgemp,106477,2,2019.2,Southwest
2018,EDR 9 - South Central,avgemp,106352,2,2018.2,Southwest
2017,EDR 9 - South Central,avgemp,106958,2,2017.2,Southwest
2016,EDR 9 - South Central,avgemp,106220,2,2016.2,Southwest
2015,EDR 9 - South Central,avgemp,104686,2,2015.2,Southwest
2014,EDR 9 - South Central,avgemp,103194,2,2014.2,Southwest
2013,EDR 9 - South Central,avgemp,102989,2,2013.2,Southwest
2012,EDR 9 - South Central,avgemp,102580,2,2012.2,Southwest
2021,EDR 10 - Southeast,avgemp,239278,2,2021.2,Southeast
2020,EDR 10 - Southeast,avgemp,221110,2,2020.2,Southeast
2019,EDR 10 - Southeast,avgemp,247738,2,2019.2,Southeast
2018,EDR 10 - Southeast,avgemp,245950,2,2018.2,Southeast
2017,EDR 10 - Southeast,avgemp,244802,2,2017.2,Southeast
2016,EDR 10 - Southeast,avgemp,242479,2,2016.2,Southeast
2015,EDR 10 - Southeast,avgemp,239018,2,2015.2,Southeast
2014,EDR 10 - Southeast,avgemp,237004,2,2014.2,Southeast
2013,EDR 10 - Southeast,avgemp,236363,2,2013.2,Southeast
2012,EDR 10 - Southeast,avgemp,234142,2,2012.2,Southeast
2021,EDR 11 - 7 County Twin Cities,avgemp,1680067,2,2021.2,Seven County Mpls-St Paul
2020,EDR 11 - 7 County Twin Cities,avgemp,1550012,2,2020.2,Seven County Mpls-St Paul
2019,EDR 11 - 7 County Twin Cities,avgemp,1783447,2,2019.2,Seven County Mpls-St Paul
2018,EDR 11 - 7 County Twin Cities,avgemp,1765642,2,2018.2,Seven County Mpls-St Paul
2017,EDR 11 - 7 County Twin Cities,avgemp,1743797,2,2017.2,Seven County Mpls-St Paul
2016,EDR 11 - 7 County Twin Cities,avgemp,1709247,2,2016.2,Seven County Mpls-St Paul
2015,EDR 11 - 7 County Twin Cities,avgemp,1684951,2,2015.2,Seven County Mpls-St Paul
2014,EDR 11 - 7 County Twin Cities,avgemp,1649932,2,2014.2,Seven County Mpls-St Paul
2013,EDR 11 - 7 County Twin Cities,avgemp,1626683,2,2013.2,Seven County Mpls-St Paul
2012,EDR 11 - 7 County Twin Cities,avgemp,1598991,2,2012.2,Seven County Mpls-St Paul
2021,EDR 1 - Northwest,avgemp,35386,3,2021.3,Northwest
2020,EDR 1 - Northwest,avgemp,34602,3,2020.3,Northwest
2019,EDR 1 - Northwest,avgemp,36330,3,2019.3,Northwest
2018,EDR 1 - Northwest,avgemp,36699,3,2018.3,Northwest
2017,EDR 1 - Northwest,avgemp,36565,3,2017.3,Northwest
2016,EDR 1 - Northwest,avgemp,36955,3,2016.3,Northwest
2015,EDR 1 - Northwest,avgemp,37278,3,2015.3,Northwest
2014,EDR 1 - Northwest,avgemp,38086,3,2014.3,Northwest
2013,EDR 1 - Northwest,avgemp,37091,3,2013.3,Northwest
2012,EDR 1 - Northwest,avgemp,36864,3,2012.3,Northwest
2021,EDR 2 - Headwaters,avgemp,32605,3,2021.3,Northwest
2020,EDR 2 - Headwaters,avgemp,31491,3,2020.3,Northwest
2019,EDR 2 - Headwaters,avgemp,33225,3,2019.3,Northwest
2018,EDR 2 - Headwaters,avgemp,33055,3,2018.3,Northwest
2017,EDR 2 - Headwaters,avgemp,32234,3,2017.3,Northwest
2016,EDR 2 - Headwaters,avgemp,32308,3,2016.3,Northwest
2015,EDR 2 - Headwaters,avgemp,31620,3,2015.3,Northwest
2014,EDR 2 - Headwaters,avgemp,31243,3,2014.3,Northwest
2013,EDR 2 - Headwaters,avgemp,30708,3,2013.3,Northwest
2012,EDR 2 - Headwaters,avgemp,30183,3,2012.3,Northwest
2021,EDR 3 - Arrowhead,avgemp,136500,3,2021.3,Northeast
2020,EDR 3 - Arrowhead,avgemp,131906,3,2020.3,Northeast
2019,EDR 3 - Arrowhead,avgemp,144994,3,2019.3,Northeast
2018,EDR 3 - Arrowhead,avgemp,145332,3,2018.3,Northeast
2017,EDR 3 - Arrowhead,avgemp,145404,3,2017.3,Northeast
2016,EDR 3 - Arrowhead,avgemp,144176,3,2016.3,Northeast
2015,EDR 3 - Arrowhead,avgemp,145201,3,2015.3,Northeast
2014,EDR 3 - Arrowhead,avgemp,144431,3,2014.3,Northeast
2013,EDR 3 - Arrowhead,avgemp,142529,3,2013.3,Northeast
2012,EDR 3 - Arrowhead,avgemp,140822,3,2012.3,Northeast
2021,EDR 4 - West Central,avgemp,90495,3,2021.3,Northwest
2020,EDR 4 - West Central,avgemp,87775,3,2020.3,Northwest
2019,EDR 4 - West Central,avgemp,92989,3,2019.3,Northwest
2018,EDR 4 - West Central,avgemp,92403,3,2018.3,Northwest
2017,EDR 4 - West Central,avgemp,92006,3,2017.3,Northwest
2016,EDR 4 - West Central,avgemp,90729,3,2016.3,Northwest
2015,EDR 4 - West Central,avgemp,89698,3,2015.3,Northwest
2014,EDR 4 - West Central,avgemp,89284,3,2014.3,Northwest
2013,EDR 4 - West Central,avgemp,88364,3,2013.3,Northwest
2012,EDR 4 - West Central,avgemp,87175,3,2012.3,Northwest
2021,EDR 5 - North Central,avgemp,65815,3,2021.3,Northwest
2020,EDR 5 - North Central,avgemp,60614,3,2020.3,Northwest
2019,EDR 5 - North Central,avgemp,65046,3,2019.3,Northwest
2018,EDR 5 - North Central,avgemp,65220,3,2018.3,Northwest
2017,EDR 5 - North Central,avgemp,64700,3,2017.3,Northwest
2016,EDR 5 - North Central,avgemp,64290,3,2016.3,Northwest
2015,EDR 5 - North Central,avgemp,63209,3,2015.3,Northwest
2014,EDR 5 - North Central,avgemp,62708,3,2014.3,Northwest
2013,EDR 5 - North Central,avgemp,62123,3,2013.3,Northwest
2012,EDR 5 - North Central,avgemp,61197,3,2012.3,Northwest
2021,EDR 6E- Southwest Central,avgemp,50993,3,2021.3,Central
2020,EDR 6E- Southwest Central,avgemp,51025,3,2020.3,Central
2019,EDR 6E- Southwest Central,avgemp,53629,3,2019.3,Central
2018,EDR 6E- Southwest Central,avgemp,54397,3,2018.3,Central
2017,EDR 6E- Southwest Central,avgemp,54371,3,2017.3,Central
2016,EDR 6E- Southwest Central,avgemp,53164,3,2016.3,Central
2015,EDR 6E- Southwest Central,avgemp,54009,3,2015.3,Central
