periodyear,edr,key,value,quarter,year.quarter,planning.region
2014,EDR 6E- Southwest Central,avgemp,53261,3,2014.3,Central
2013,EDR 6E- Southwest Central,avgemp,53023,3,2013.3,Central
2012,EDR 6E- Southwest Central,avgemp,52016,3,2012.3,Central
2021,EDR 6W- Upper Minnesota Valley,avgemp,16163,3,2021.3,Southwest
2020,EDR 6W- Upper Minnesota Valley,avgemp,15994,3,2020.3,Southwest
2019,EDR 6W- Upper Minnesota Valley,avgemp,17157,3,2019.3,Southwest
2018,EDR 6W- Upper Minnesota Valley,avgemp,17329,3,2018.3,Southwest
2017,EDR 6W- Upper Minnesota Valley,avgemp,17186,3,2017.3,Southwest
2016,EDR 6W- Upper Minnesota Valley,avgemp,17182,3,2016.3,Southwest
2015,EDR 6W- Upper Minnesota Valley,avgemp,17072,3,2015.3,Southwest
2014,EDR 6W- Upper Minnesota Valley,avgemp,17221,3,2014.3,Southwest
2013,EDR 6W- Upper Minnesota Valley,avgemp,17420,3,2013.3,Southwest
2012,EDR 6W- Upper Minnesota Valley,avgemp,17782,3,2012.3,Southwest
2021,EDR 7E- East Central,avgemp,47829,3,2021.3,Central
2020,EDR 7E- East Central,avgemp,45805,3,2020.3,Central
2019,EDR 7E- East Central,avgemp,49356,3,2019.3,Central
2018,EDR 7E- East Central,avgemp,48689,3,2018.3,Central
2017,EDR 7E- East Central,avgemp,48356,3,2017.3,Central
2016,EDR 7E- East Central,avgemp,48020,3,2016.3,Central
2015,EDR 7E- East Central,avgemp,47479,3,2015.3,Central
2014,EDR 7E- East Central,avgemp,46900,3,2014.3,Central
2013,EDR 7E- East Central,avgemp,46420,3,2013.3,Central
2012,EDR 7E- East Central,avgemp,45540,3,2012.3,Central
2021,EDR 7W- Central,avgemp,172036,3,2021.3,Central
2020,EDR 7W- Central,avgemp,167082,3,2020.3,Central
2019,EDR 7W- Central,avgemp,177644,3,2019.3,Central
2018,EDR 7W- Central,avgemp,175858,3,2018.3,Central
2017,EDR 7W- Central,avgemp,173669,3,2017.3,Central
2016,EDR 7W- Central,avgemp,171384,3,2016.3,Central
2015,EDR 7W- Central,avgemp,168875,3,2015.3,Central
2014,EDR 7W- Central,avgemp,166357,3,2014.3,Central
2013,EDR 7W- Central,avgemp,161968,3,2013.3,Central
2012,EDR 7W- Central,avgemp,158234,3,2012.3,Central
2021,EDR 8 - Southwest,avgemp,51926,3,2021.3,Southwest
2020,EDR 8 - Southwest,avgemp,50988,3,2020.3,Southwest
2019,EDR 8 - Southwest,avgemp,52934,3,2019.3,Southwest
2018,EDR 8 - Southwest,avgemp,53552,3,2018.3,Southwest
2017,EDR 8 - Southwest,avgemp,53408,3,2017.3,Southwest
2016,EDR 8 - Southwest,avgemp,53950,3,2016.3,Southwest
2015,EDR 8 - Southwest,avgemp,54784,3,2015.3,Southwest
2014,EDR 8 - Southwest,avgemp,54810,3,2014.3,Southwest
2013,EDR 8 - Southwest,avgemp,54294,3,2013.3,Southwest
2012,EDR 8 - Southwest,avgemp,53526,3,2012.3,Southwest
2021,EDR 9 - South Central,avgemp,100690,3,2021.3,Southwest
2020,EDR 9 - South Central,avgemp,99063,3,2020.3,Southwest
2019,EDR 9 - South Central,avgemp,106534,3,2019.3,Southwest
2018,EDR 9 - South Central,avgemp,106409,3,2018.3,Southwest
2017,EDR 9 - South Central,avgemp,106526,3,2017.3,Southwest
2016,EDR 9 - South Central,avgemp,106496,3,2016.3,Southwest
2015,EDR 9 - South Central,avgemp,104111,3,2015.3,Southwest
2014,EDR 9 - South Central,avgemp,102338,3,2014.3,Southwest
2013,EDR 9 - South Central,avgemp,102330,3,2013.3,Southwest
2012,EDR 9 - South Central,avgemp,101628,3,2012.3,Southwest
2021,EDR 10 - Southeast,avgemp,239798,3,2021.3,Southeast
2020,EDR 10 - Southeast,avgemp,232583,3,2020.3,Southeast
2019,EDR 10 - Southeast,avgemp,248200,3,2019.3,Southeast
2018,EDR 10 - Southeast,avgemp,246232,3,2018.3,Southeast
2017,EDR 10 - Southeast,avgemp,244136,3,2017.3,Southeast
2016,EDR 10 - Southeast,avgemp,242234,3,2016.3,Southeast
2015,EDR 10 - Southeast,avgemp,239193,3,2015.3,Southeast
2014,EDR 10 - Southeast,avgemp,236356,3,2014.3,Southeast
2013,EDR 10 - Southeast,avgemp,236289,3,2013.3,Southeast
2012,EDR 10 - Southeast,avgemp,234780,3,2012.3,Southeast
2021,EDR 11 - 7 County Twin Cities,avgemp,1684839,3,2021.3,Seven County Mpls-St Paul
2020,EDR 11 - 7 County Twin Cities,avgemp,1619247,3,2020.3,Seven County Mpls-St Paul
2019,EDR 11 - 7 County Twin Cities,avgemp,1780901,3,2019.3,Seven County Mpls-St Paul
2018,EDR 11 - 7 County Twin Cities,avgemp,1766209,3,2018.3,Seven County Mpls-St Paul
2017,EDR 11 - 7 County Twin Cities,avgemp,1742648,3,2017.3,Seven County Mpls-St Paul
2016,EDR 11 - 7 County Twin Cities,avgemp,1714535,3,2016.3,Seven County Mpls-St Paul
2015,EDR 11 - 7 County Twin Cities,avgemp,1680550,3,2015.3,Seven County Mpls-St Paul
2014,EDR 11 - 7 County Twin Cities,avgemp,1648535,3,2014.3,Seven County Mpls-St Paul
2013,EDR 11 - 7 County Twin Cities,avgemp,1623990,3,2013.3,Seven County Mpls-St Paul
2012,EDR 11 - 7 County Twin Cities,avgemp,1594686,3,2012.3,Seven County Mpls-St Paul
2020,EDR 1 - Northwest,avgemp,35505,4,2020.4,Northwest
2019,EDR 1 - Northwest,avgemp,37058,4,2019.4,Northwest
2018,EDR 1 - Northwest,avgemp,37683,4,2018.4,Northwest
2017,EDR 1 - Northwest,avgemp,37558,4,2017.4,Northwest
2016,EDR 1 - Northwest,avgemp,37782,4,2016.4,Northwest
2015,EDR 1 - Northwest,avgemp,39220,4,2015.4,Northwest
2014,EDR 1 - Northwest,avgemp,39081,4,2014.4,Northwest
2013,EDR 1 - Northwest,avgemp,38477,4,2013.4,Northwest
2012,EDR 1 - Northwest,avgemp,37945,4,2012.4,Northwest
2020,EDR 2 - Headwaters,avgemp,30607,4,2020.4,Northwest
2019,EDR 2 - Headwaters,avgemp,32643,4,2019.4,Northwest
2018,EDR 2 - Headwaters,avgemp,32538,4,2018.4,Northwest
2017,EDR 2 - Headwaters,avgemp,31961,4,2017.4,Northwest
2016,EDR 2 - Headwaters,avgemp,31670,4,2016.4,Northwest
2015,EDR 2 - Headwaters,avgemp,31327,4,2015.4,Northwest
2014,EDR 2 - Headwaters,avgemp,30925,4,2014.4,Northwest
2013,EDR 2 - Headwaters,avgemp,30288,4,2013.4,Northwest
2012,EDR 2 - Headwaters,avgemp,29936,4,2012.4,Northwest
2020,EDR 3 - Arrowhead,avgemp,132345,4,2020.4,Northeast
2019,EDR 3 - Arrowhead,avgemp,143612,4,2019.4,Northeast
2018,EDR 3 - Arrowhead,avgemp,144057,4,2018.4,Northeast
2017,EDR 3 - Arrowhead,avgemp,143737,4,2017.4,Northeast
2016,EDR 3 - Arrowhead,avgemp,142492,4,2016.4,Northeast
2015,EDR 3 - Arrowhead,avgemp,142277,4,2015.4,Northeast
2014,EDR 3 - Arrowhead,avgemp,142370,4,2014.4,Northeast
2013,EDR 3 - Arrowhead,avgemp,140906,4,2013.4,Northeast
2012,EDR 3 - Arrowhead,avgemp,139840,4,2012.4,Northeast
2020,EDR 4 - West Central,avgemp,87131,4,2020.4,Northwest
2019,EDR 4 - West Central,avgemp,91545,4,2019.4,Northwest
2018,EDR 4 - West Central,avgemp,91116,4,2018.4,Northwest
2017,EDR 4 - West Central,avgemp,90505,4,2017.4,Northwest
2016,EDR 4 - West Central,avgemp,89151,4,2016.4,Northwest
2015,EDR 4 - West Central,avgemp,88482,4,2015.4,Northwest
2014,EDR 4 - West Central,avgemp,87432,4,2014.4,Northwest
2013,EDR 4 - West Central,avgemp,87419,4,2013.4,Northwest
2012,EDR 4 - West Central,avgemp,85766,4,2012.4,Northwest
2020,EDR 5 - North Central,avgemp,59783,4,2020.4,Northwest
2019,EDR 5 - North Central,avgemp,62807,4,2019.4,Northwest
2018,EDR 5 - North Central,avgemp,62529,4,2018.4,Northwest
2017,EDR 5 - North Central,avgemp,62484,4,2017.4,Northwest
2016,EDR 5 - North Central,avgemp,61570,4,2016.4,Northwest
2015,EDR 5 - North Central,avgemp,60876,4,2015.4,Northwest
2014,EDR 5 - North Central,avgemp,60328,4,2014.4,Northwest
2013,EDR 5 - North Central,avgemp,59652,4,2013.4,Northwest
2012,EDR 5 - North Central,avgemp,59079,4,2012.4,Northwest
2020,EDR 6E- Southwest Central,avgemp,51462,4,2020.4,Central
2019,EDR 6E- Southwest Central,avgemp,53954,4,2019.4,Central
2018,EDR 6E- Southwest Central,avgemp,54541,4,2018.4,Central
2017,EDR 6E- Southwest Central,avgemp,54660,4,2017.4,Central
2016,EDR 6E- Southwest Central,avgemp,53232,4,2016.4,Central
2015,EDR 6E- Southwest Central,avgemp,53548,4,2015.4,Central
2014,EDR 6E- Southwest Central,avgemp,53404,4,2014.4,Central
2013,EDR 6E- Southwest Central,avgemp,52555,4,2013.4,Central
2012,EDR 6E- Southwest Central,avgemp,51536,4,2012.4,Central
2020,EDR 6W- Upper Minnesota Valley,avgemp,16299,4,2020.4,Southwest
2019,EDR 6W- Upper Minnesota Valley,avgemp,17477,4,2019.4,Southwest
2018,EDR 6W- Upper Minnesota Valley,avgemp,17724,4,2018.4,Southwest
2017,EDR 6W- Upper Minnesota Valley,avgemp,17611,4,2017.4,Southwest
2016,EDR 6W- Upper Minnesota Valley,avgemp,17661,4,2016.4,Southwest
2015,EDR 6W- Upper Minnesota Valley,avgemp,17575,4,2015.4,Southwest
2014,EDR 6W- Upper Minnesota Valley,avgemp,17517,4,2014.4,Southwest
2013,EDR 6W- Upper Minnesota Valley,avgemp,17754,4,2013.4,Southwest
2012,EDR 6W- Upper Minnesota Valley,avgemp,18059,4,2012.4,Southwest
2020,EDR 7E- East Central,avgemp,46385,4,2020.4,Central
2019,EDR 7E- East Central,avgemp,49190,4,2019.4,Central
2018,EDR 7E- East Central,avgemp,48883,4,2018.4,Central
2017,EDR 7E- East Central,avgemp,48303,4,2017.4,Central
2016,EDR 7E- East Central,avgemp,48296,4,2016.4,Central
2015,EDR 7E- East Central,avgemp,48240,4,2015.4,Central
2014,EDR 7E- East Central,avgemp,46838,4,2014.4,Central
2013,EDR 7E- East Central,avgemp,47093,4,2013.4,Central
2012,EDR 7E- East Central,avgemp,46181,4,2012.4,Central
2020,EDR 7W- Central,avgemp,168403,4,2020.4,Central
2019,EDR 7W- Central,avgemp,177807,4,2019.4,Central
2018,EDR 7W- Central,avgemp,176316,4,2018.4,Central
2017,EDR 7W- Central,avgemp,174413,4,2017.4,Central
2016,EDR 7W- Central,avgemp,172623,4,2016.4,Central
2015,EDR 7W- Central,avgemp,169663,4,2015.4,Central
2014,EDR 7W- Central,avgemp,167391,4,2014.4,Central
2013,EDR 7W- Central,avgemp,164204,4,2013.4,Central
2012,EDR 7W- Central,avgemp,160437,4,2012.4,Central
2020,EDR 8 - Southwest,avgemp,52250,4,2020.4,Southwest
2019,EDR 8 - Southwest,avgemp,53681,4,2019.4,Southwest
2018,EDR 8 - Southwest,avgemp,54306,4,2018.4,Southwest
2017,EDR 8 - Southwest,avgemp,54448,4,2017.4,Southwest
2016,EDR 8 - Southwest,avgemp,54739,4,2016.4,Southwest
2015,EDR 8 - Southwest,avgemp,55018,4,2015.4,Southwest
2014,EDR 8 - Southwest,avgemp,55176,4,2014.4,Southwest
2013,EDR 8 - Southwest,avgemp,55009,4,2013.4,Southwest
2012,EDR 8 - Southwest,avgemp,54409,4,2012.4,Southwest
2020,EDR 9 - South Central,avgemp,101151,4,2020.4,Southwest
2019,EDR 9 - South Central,avgemp,108355,4,2019.4,Southwest
2018,EDR 9 - South Central,avgemp,107706,4,2018.4,Southwest
2017,EDR 9 - South Central,avgemp,108013,4,2017.4,Southwest
2016,EDR 9 - South Central,avgemp,107195,4,2016.4,Southwest
2015,EDR 9 - South Central,avgemp,105927,4,2015.4,Southwest
2014,EDR 9 - South Central,avgemp,104308,4,2014.4,Southwest
2013,EDR 9 - South Central,avgemp,104535,4,2013.4,Southwest
2012,EDR 9 - South Central,avgemp,103447,4,2012.4,Southwest
2020,EDR 10 - Southeast,avgemp,235528,4,2020.4,Southeast
2019,EDR 10 - Southeast,avgemp,249385,4,2019.4,Southeast
2018,EDR 10 - Southeast,avgemp,246247,4,2018.4,Southeast
2017,EDR 10 - Southeast,avgemp,244344,4,2017.4,Southeast
2016,EDR 10 - Southeast,avgemp,243652,4,2016.4,Southeast
2015,EDR 10 - Southeast,avgemp,241140,4,2015.4,Southeast
2014,EDR 10 - Southeast,avgemp,238293,4,2014.4,Southeast
2013,EDR 10 - Southeast,avgemp,237932,4,2013.4,Southeast
2012,EDR 10 - Southeast,avgemp,236934,4,2012.4,Southeast
2020,EDR 11 - 7 County Twin Cities,avgemp,1654181,4,2020.4,Seven County Mpls-St Paul
2019,EDR 11 - 7 County Twin Cities,avgemp,1793578,4,2019.4,Seven County Mpls-St Paul
2018,EDR 11 - 7 County Twin Cities,avgemp,1783608,4,2018.4,Seven County Mpls-St Paul
2017,EDR 11 - 7 County Twin Cities,avgemp,1762014,4,2017.4,Seven County Mpls-St Paul
2016,EDR 11 - 7 County Twin Cities,avgemp,1732541,4,2016.4,Seven County Mpls-St Paul
2015,EDR 11 - 7 County Twin Cities,avgemp,1697615,4,2015.4,Seven County Mpls-St Paul
2014,EDR 11 - 7 County Twin Cities,avgemp,1667501,4,2014.4,Seven County Mpls-St Paul
2013,EDR 11 - 7 County Twin Cities,avgemp,1644989,4,2013.4,Seven County Mpls-St Paul
2012,EDR 11 - 7 County Twin Cities,avgemp,1615105,4,2012.4,Seven County Mpls-St Paul
2021,EDR 1 - Northwest,avg_estab,2708,1,2021.1,Northwest
2020,EDR 1 - Northwest,avg_estab,2729,1,2020.1,Northwest
2019,EDR 1 - Northwest,avg_estab,2704,1,2019.1,Northwest
2018,EDR 1 - Northwest,avg_estab,2711,1,2018.1,Northwest
2017,EDR 1 - Northwest,avg_estab,2643,1,2017.1,Northwest
2016,EDR 1 - Northwest,avg_estab,2599,1,2016.1,Northwest
2015,EDR 1 - Northwest,avg_estab,2683,1,2015.1,Northwest
2014,EDR 1 - Northwest,avg_estab,2679,1,2014.1,Northwest
2013,EDR 1 - Northwest,avg_estab,2722,1,2013.1,Northwest
2012,EDR 1 - Northwest,avg_estab,2799,1,2012.1,Northwest
2021,EDR 2 - Headwaters,avg_estab,2357,1,2021.1,Northwest
2020,EDR 2 - Headwaters,avg_estab,2364,1,2020.1,Northwest
2019,EDR 2 - Headwaters,avg_estab,2338,1,2019.1,Northwest
2018,EDR 2 - Headwaters,avg_estab,2309,1,2018.1,Northwest
2017,EDR 2 - Headwaters,avg_estab,2262,1,2017.1,Northwest
2016,EDR 2 - Headwaters,avg_estab,2214,1,2016.1,Northwest
2015,EDR 2 - Headwaters,avg_estab,2252,1,2015.1,Northwest
2014,EDR 2 - Headwaters,avg_estab,2278,1,2014.1,Northwest
2013,EDR 2 - Headwaters,avg_estab,2344,1,2013.1,Northwest
2012,EDR 2 - Headwaters,avg_estab,2387,1,2012.1,Northwest
2021,EDR 3 - Arrowhead,avg_estab,8788,1,2021.1,Northeast
2020,EDR 3 - Arrowhead,avg_estab,8824,1,2020.1,Northeast
2019,EDR 3 - Arrowhead,avg_estab,8730,1,2019.1,Northeast
2018,EDR 3 - Arrowhead,avg_estab,8711,1,2018.1,Northeast
2017,EDR 3 - Arrowhead,avg_estab,8505,1,2017.1,Northeast
2016,EDR 3 - Arrowhead,avg_estab,8372,1,2016.1,Northeast
2015,EDR 3 - Arrowhead,avg_estab,8547,1,2015.1,Northeast
2014,EDR 3 - Arrowhead,avg_estab,8629,1,2014.1,Northeast
2013,EDR 3 - Arrowhead,avg_estab,8820,1,2013.1,Northeast
2012,EDR 3 - Arrowhead,avg_estab,9098,1,2012.1,Northeast
2021,EDR 4 - West Central,avg_estab,6920,1,2021.1,Northwest
2020,EDR 4 - West Central,avg_estab,6945,1,2020.1,Northwest
2019,EDR 4 - West Central,avg_estab,6823,1,2019.1,Northwest
2018,EDR 4 - West Central,avg_estab,6830,1,2018.1,Northwest
2017,EDR 4 - West Central,avg_estab,6634,1,2017.1,Northwest
2016,EDR 4 - West Central,avg_estab,6483,1,2016.1,Northwest
2015,EDR 4 - West Central,avg_estab,6655,1,2015.1,Northwest
2014,EDR 4 - West Central,avg_estab,6708,1,2014.1,Northwest
2013,EDR 4 - West Central,avg_estab,6934,1,2013.1,Northwest
2012,EDR 4 - West Central,avg_estab,7033,1,2012.1,Northwest
2021,EDR 5 - North Central,avg_estab,5095,1,2021.1,Northwest
2020,EDR 5 - North Central,avg_estab,5060,1,2020.1,Northwest
2019,EDR 5 - North Central,avg_estab,4961,1,2019.1,Northwest
2018,EDR 5 - North Central,avg_estab,4941,1,2018.1,Northwest
2017,EDR 5 - North Central,avg_estab,4747,1,2017.1,Northwest
2016,EDR 5 - North Central,avg_estab,4650,1,2016.1,Northwest
2015,EDR 5 - North Central,avg_estab,4768,1,2015.1,Northwest
2014,EDR 5 - North Central,avg_estab,4792,1,2014.1,Northwest
2013,EDR 5 - North Central,avg_estab,4834,1,2013.1,Northwest
2012,EDR 5 - North Central,avg_estab,4929,1,2012.1,Northwest
2021,EDR 6E- Southwest Central,avg_estab,3536,1,2021.1,Central
2020,EDR 6E- Southwest Central,avg_estab,3541,1,2020.1,Central
2019,EDR 6E- Southwest Central,avg_estab,3516,1,2019.1,Central
2018,EDR 6E- Southwest Central,avg_estab,3500,1,2018.1,Central
2017,EDR 6E- Southwest Central,avg_estab,3382,1,2017.1,Central
2016,EDR 6E- Southwest Central,avg_estab,3324,1,2016.1,Central
2015,EDR 6E- Southwest Central,avg_estab,3416,1,2015.1,Central
2014,EDR 6E- Southwest Central,avg_estab,3498,1,2014.1,Central
2013,EDR 6E- Southwest Central,avg_estab,3520,1,2013.1,Central
2012,EDR 6E- Southwest Central,avg_estab,3544,1,2012.1,Central
2021,EDR 6W- Upper Minnesota Valley,avg_estab,1540,1,2021.1,Southwest
2020,EDR 6W- Upper Minnesota Valley,avg_estab,1546,1,2020.1,Southwest
2019,EDR 6W- Upper Minnesota Valley,avg_estab,1546,1,2019.1,Southwest
2018,EDR 6W- Upper Minnesota Valley,avg_estab,1546,1,2018.1,Southwest
2017,EDR 6W- Upper Minnesota Valley,avg_estab,1524,1,2017.1,Southwest
2016,EDR 6W- Upper Minnesota Valley,avg_estab,1515,1,2016.1,Southwest
2015,EDR 6W- Upper Minnesota Valley,avg_estab,1517,1,2015.1,Southwest
2014,EDR 6W- Upper Minnesota Valley,avg_estab,1526,1,2014.1,Southwest
2013,EDR 6W- Upper Minnesota Valley,avg_estab,1560,1,2013.1,Southwest
2012,EDR 6W- Upper Minnesota Valley,avg_estab,1582,1,2012.1,Southwest
2021,EDR 7E- East Central,avg_estab,3790,1,2021.1,Central
2020,EDR 7E- East Central,avg_estab,3747,1,2020.1,Central
2019,EDR 7E- East Central,avg_estab,3659,1,2019.1,Central
2018,EDR 7E- East Central,avg_estab,3567,1,2018.1,Central
2017,EDR 7E- East Central,avg_estab,3424,1,2017.1,Central
2016,EDR 7E- East Central,avg_estab,3314,1,2016.1,Central
2015,EDR 7E- East Central,avg_estab,3393,1,2015.1,Central
2014,EDR 7E- East Central,avg_estab,3473,1,2014.1,Central
2013,EDR 7E- East Central,avg_estab,3499,1,2013.1,Central
2012,EDR 7E- East Central,avg_estab,3589,1,2012.1,Central
2021,EDR 7W- Central,avg_estab,11002,1,2021.1,Central
2020,EDR 7W- Central,avg_estab,10920,1,2020.1,Central
2019,EDR 7W- Central,avg_estab,10640,1,2019.1,Central
2018,EDR 7W- Central,avg_estab,10479,1,2018.1,Central
2017,EDR 7W- Central,avg_estab,10056,1,2017.1,Central
2016,EDR 7W- Central,avg_estab,9769,1,2016.1,Central
2015,EDR 7W- Central,avg_estab,9940,1,2015.1,Central
2014,EDR 7W- Central,avg_estab,10064,1,2014.1,Central
2013,EDR 7W- Central,avg_estab,10037,1,2013.1,Central
2012,EDR 7W- Central,avg_estab,10172,1,2012.1,Central
2021,EDR 8 - Southwest,avg_estab,3934,1,2021.1,Southwest
2020,EDR 8 - Southwest,avg_estab,3957,1,2020.1,Southwest
2019,EDR 8 - Southwest,avg_estab,3914,1,2019.1,Southwest
2018,EDR 8 - Southwest,avg_estab,3939,1,2018.1,Southwest
2017,EDR 8 - Southwest,avg_estab,3845,1,2017.1,Southwest
2016,EDR 8 - Southwest,avg_estab,3812,1,2016.1,Southwest
2015,EDR 8 - Southwest,avg_estab,3903,1,2015.1,Southwest
2014,EDR 8 - Southwest,avg_estab,3950,1,2014.1,Southwest
2013,EDR 8 - Southwest,avg_estab,3985,1,2013.1,Southwest
2012,EDR 8 - Southwest,avg_estab,4024,1,2012.1,Southwest
2021,EDR 9 - South Central,avg_estab,6765,1,2021.1,Southwest
2020,EDR 9 - South Central,avg_estab,6768,1,2020.1,Southwest
2019,EDR 9 - South Central,avg_estab,6655,1,2019.1,Southwest
2018,EDR 9 - South Central,avg_estab,6652,1,2018.1,Southwest
2017,EDR 9 - South Central,avg_estab,6470,1,2017.1,Southwest
2016,EDR 9 - South Central,avg_estab,6278,1,2016.1,Southwest
2015,EDR 9 - South Central,avg_estab,6410,1,2015.1,Southwest
2014,EDR 9 - South Central,avg_estab,6429,1,2014.1,Southwest
2013,EDR 9 - South Central,avg_estab,6535,1,2013.1,Southwest
2012,EDR 9 - South Central,avg_estab,6596,1,2012.1,Southwest
2021,EDR 10 - Southeast,avg_estab,12682,1,2021.1,Southeast
2020,EDR 10 - Southeast,avg_estab,12695,1,2020.1,Southeast
2019,EDR 10 - Southeast,avg_estab,12407,1,2019.1,Southeast
2018,EDR 10 - Southeast,avg_estab,12254,1,2018.1,Southeast
2017,EDR 10 - Southeast,avg_estab,11894,1,2017.1,Southeast
2016,EDR 10 - Southeast,avg_estab,11638,1,2016.1,Southeast
2015,EDR 10 - Southeast,avg_estab,11888,1,2015.1,Southeast
2014,EDR 10 - Southeast,avg_estab,12044,1,2014.1,Southeast
2013,EDR 10 - Southeast,avg_estab,12112,1,2013.1,Southeast
2012,EDR 10 - Southeast,avg_estab,12330,1,2012.1,Southeast
2021,EDR 11 - 7 County Twin Cities,avg_estab,85268,1,2021.1,Seven County Mpls-St Paul
2020,EDR 11 - 7 County Twin Cities,avg_estab,84762,1,2020.1,Seven County Mpls-St Paul
